data;cod;produto;preco;unidade;faot_unid;cod_id;cod_sku;marca
2026-04-14;abobora-japonesa-pedaco-500g-38229;Abóbora Japonesa Pedaço 500g;4.99;kg;0.5;5593;5609;Zona Sul
2026-04-14;pao-de-queijo-forno-de-minas-tradicional--400-g-456110;Pão De Queijo Forno De Minas Tradicional 400g;21.99;un;1.0;13544;13564;FORNO MINAS
2026-04-14;milho-em-conserva-quero-lata-200g-476625;Milho em Conserva Quero Lata 200g;4.99;un;1.0;10734;10752;QUERO
2026-04-14;azeite-italiano-extra-virgem-due-500ml-5472040;Azeite Italiano Extravirgem Due 500ml;29.97;un;1.0;40224;40151;DUE
2026-04-14;saponaceo-cremoso-cif-gratis-20-450-ml-839264;Saponáceo Cremoso Cif Grátis 20% 450ml;15.99;un;1.0;12274;12301;CIF
2026-04-14;melao-amarelo-metade-1-3-kg-63606;Melão Amarelo Metade 1,3kg;8.99;kg;1.3;5169;5185;Zona Sul
2026-04-14;alho-roxo-cariorta-4-a-5-unidades-250g-99279;Alho Roxo Cariorta 4 a 5 unidades 250g;59.99;kg;0.25;24684;24608;CARIORTA
2026-04-14;pao-de-forma-plus-vita-tradicional-500-g-252921;Pão de Forma Tradicional Plusvita 480g;9.98;un;1.0;9715;9727;PLUS VITA
2026-04-14;vinagre-de-alcool-peixe-750-ml-291790;Vinagre de Álcool Peixe 750 mL;4.85;un;1.0;9805;9817;Peixe Alimentos
2026-04-14;mamao-formosa-metade-cariorta-800g-63584;Mamão Formosa Metade Cariorta 800g;5.99;kg;0.8;5289;5305;CARIORTA
2026-04-14;cafe-torrado-e-moido-melitta-a-vacuo-500g-103845;Café Torrado e Moído Melitta A Vácuo 500g;29.8;un;1.0;53;56;MELITTA
2026-04-14;oleo-de-soja-soya-900ml-102350;Óleo De Soja Soya 900ml;7.99;un;1.0;9241;9253;SOYA
2026-04-15;leite-condensado-moca-lata-395g-1136321;Leite Condensado Moça Lata 395g;9.99;un;1.0;37022;36949;NESTLE
2026-04-15;refrigerante-coca-cola-zero-pet--2-l-429384;Refrigerante Coca Cola Zero PET 2 L;9.79;un;1.0;8832;8844;COCA COLA
2026-04-15;detergente-para-loucas-biodegradavel-limpol-neutro-500-ml-100510;Detergente Para Louças Biodegradável Limpol Neutro 500ml;2.69;un;1.0;12054;12081;LIMPOL
2026-04-15;ovos-brancos-jumbo-mantiqueira-com-10-unidades-437638;Ovos Brancos Jumbo Mantiqueira Com 10 Unidades;10.9;un;1.0;7002;7020;MANTIQUEIRA
2026-04-15;matte-leao-limao-pet-1-5l-118222;Matte Leão Limão Pet 1,5L;8.99;un;1.0;8711;8723;LEAO
2026-04-15;ovos-vermelhos-caipira-happy-eggs-com-20-unidades-370550;Ovos Vermelhos Caipira Happy Eggs Com 20 Unidades;24.99;un;1.0;6939;6957;HAPPY EGGS
2026-04-15;manga-palmer-unidade-5130760;Manga Palmer Unidade;5.33;un;1.0;31977;31902;Zona Sul
2026-04-15;couve-flor-unidade-189111;Couve Flor Unidade;9.59;un;1.0;7446;7465;Zona Sul
